order_id,order_date,customer_id,customer_name,region,product_category,product_name,quantity,unit_price,discount_pct,revenue,sales_rep
ORD-10002,2024-11-08,GF0096,Greenfield Solutions,West,Apparel,Safety Vest Hi-Vis,4,25.21,0.05,95.8,Jordan Lee
ORD-10003,2024-11-21,SA-0251,Summit Analytics,South,Electronics,USB-C Hub,2,34.57,0,69.14,Dario Ferri
ORD-10006,2024-11-26,GF-0096,Greenfield Solutions,South,Office Supplies,Sticky Notes 12-Pack,7,9.04,0,63.28,Tom Buchan
ORD-10009,2024-11-18,CG-0026,Crestwood Group,West,Apparel,Branded Polo Shirt,4,33.59,0.2,107.49,Jordan Lee
ORD-10012,2024-11-14,IW-0759,Ironwood Industries,East,Electronics,USB-C Hub,12,35.51,0.15,362.2,Marcus Webb
ORD-10014,2024-11-18,AD-0143,Apex Dynamics,East,Furniture,Filing Cabinet,4,176.83,0.15,601.22,Marcus Webb
ORD-10015,2024-11-08,MP-0115,Meridian Partners,Central,Electronics,Webcam HD 1080p,12,87.4,0,1048.8,Elena Ruiz
ORD-10019,2024-11-13,SV-0090,Sunrise Ventures,East,Furniture,Filing Cabinet,9,184.44,0,1659.96,Marcus Webb
ORD-10023,2024-11-27,LT-0914,Lakeside Tech,Central,Sports & Outdoors,Foam Roller,2,23.86,0.2,38.18,Elena Ruiz
ORD-10024,2024-11-06,SA-0251,Summit Analytics,South,Furniture,Filing Cabinet,8,175.52,0.1,1263.74,Dario Ferri
ORD-10025,2024-11-20,PS-0760,Pinnacle Solutions,East,Electronics,Bluetooth Speaker,3,57.01,0.05,162.48,Tom Buchan
ORD-10028,2024-11-29,SA-0251,Summit Analytics,Central,Apparel,Fleece Jacket,3,66.7,0,200.1,Priya Sharma
ORD-10029,2024-11-19,HV-0605,Harborview Group,West,Furniture,Monitor Arm,4,87.66,0,350.64,Jordan Lee
ORD-10030,2024-11-05,HV-0605,Harborview Group,South,Apparel,Fleece Jacket,11,67.89,0.05,709.45,Priya Sharma
ORD-10032,2024-11-11,GF-0096,Greenfield Solutions,Central,Apparel,Fleece Jacket,12,64.33,0,771.96,Dario Ferri
ORD-10035,2024-11-14,CS-0433,Cascade Systems,South,Furniture,Monitor Arm,1,90.48,0.1,81.43,Yuki Tanaka
ORD-10037,2024-11-01,MP-0115,Meridian Partners,East,Electronics,USB-C Hub,2,34.07,0.1,61.33,Aisha Nkosi
ORD-10041,2024-11-08,OE-0282,Oakwood Enterprises,South,Office Supplies,Stapler Heavy Duty,4,22.06,0,88.24,Yuki Tanaka
ORD-10045,2024-11-13,NG-0559,Northgate Partners,West,Office Supplies,Label Maker,2,39.6,0,79.2,Yuki Tanaka
ORD-10048,2024-11-22,PS-0760,Pinnacle Solutions,East,Office Supplies,Gel Pens Set,7,12.7,0,88.9,Aisha Nkosi
ORD-10050,2024-11-26,CG-0026,Crestwood Group,Central,Electronics,Webcam HD 1080p,1,93.83,0,93.83,Yuki Tanaka
ORD-10052,2024-11-07,HV-0605,Harborview Group,South,Office Supplies,Sticky Notes 12-Pack,3,8.54,0.05,24.34,Yuki Tanaka
ORD-10056,2024-11-11,SV-0090,Sunrise Ventures,Central,Sports & Outdoors,Foam Roller,3,24.48,0,73.44,Tom Buchan
ORD-10057,2024-11-18,TA0033,Thornhill Associates,West,Electronics,Webcam HD 1080p,8,93.76,0.1,675.07,Jordan Lee
ORD-10059,2024-11-04,CS-0433,Cascade Systems,East,Office Supplies,Label Maker,4,38.47,0.05,146.19,Priya Sharma
ORD-10061,2024-11-18,MP-0115,Meridian Partners,West,Office Supplies,Whiteboard Markers,6,14.55,0,87.3,Priya Sharma
ORD-10064,2024-11-11,LT-0914,Lakeside Tech,East,Furniture,Monitor Arm,2,89.61,0,179.22,Marcus Webb
ORD-10065,2024-11-04,BR-0229,Blue Ridge Consulting,Central,Furniture,Ergonomic Chair,4,342.46,0,1369.84,Tom Buchan
ORD-10069,2024-11-25,VP-0105,Vantage Point Inc,West,Office Supplies,Label Maker,2,39.05,0,78.1,Jordan Lee
ORD-10070,2024-11-21,OE-0282,Oakwood Enterprises,Central,Electronics,USB-C Hub,4,35.46,0.15,120.56,Tom Buchan
ORD-10073,2024-11-15,RC-0755,Redstone Corp,West,Office Supplies,A4 Paper Ream,1,9.82,0,9.82,Jordan Lee
ORD-10075,2024-11-19,RC-0755,Redstone Corp,East,Office Supplies,Stapler Heavy Duty,9,22.1,0,198.9,Marcus Webb
ORD-10077,2024-11-18,IW-0759,Ironwood Industries,East,Electronics,USB-C Hub,1,33.98,0,33.98,Marcus Webb
ORD-10079,2024-11-20,IW-0759,Ironwood Industries,Central,Electronics,Laptop Stand,3,51.54,0.2,123.7,Dario Ferri
ORD-10083,2024-11-01,CA-0693,Clearwater Advisory,Central,Apparel,Company Cap,3,20.39,0.2,48.94,Dario Ferri
ORD-10087,2024-11-26,HV-0605,Harborview Group,East,Sports & Outdoors,Yoga Mat,5,41.17,0.2,164.68,Aisha Nkosi
ORD-10089,2024-11-08,BR-0229,Blue Ridge Consulting,South,Apparel,Company Cap,6,20.01,0.15,102.05,Dario Ferri
ORD-10092,2024-11-28,PS-0760,Pinnacle Solutions,Central,Sports & Outdoors,Yoga Mat,1,40.38,0,40.38,Tom Buchan
ORD-10095,2024-11-21,CA-0693,Clearwater Advisory,South,Office Supplies,Stapler Heavy Duty,10,22.43,0,224.3,Dario Ferri
ORD-10099,2024-11-01,TA-0033,Thornhill Associates,East,Electronics,USB-C Hub,10,35.56,0,355.6,Aisha Nkosi
ORD-10100,2024-11-21,VP-0105,Vantage Point Inc,Central,Furniture,Monitor Arm,9,87.22,0,784.98,Tom Buchan
ORD-10104,2024-11-20,SA-0251,Summit Analytics,Central,Apparel,Company Cap,5,19.85,0,99.25,Tom Buchan
ORD-10107,2024-11-14,SV-0090,Sunrise Ventures,East,Apparel,Fleece Jacket,11,63.58,0,699.38,Aisha Nkosi
ORD-10110,2024-11-05,AD-0143,Apex Dynamics,Central,Electronics,Wireless Headphones,1,83.86,0,83.86,Tom Buchan
ORD-10111,2024-11-14,RL-0031,Riverview Logistics,East,Furniture,Bookshelf 5-Tier,4,132.02,0,528.08,Aisha Nkosi
ORD-10112,2024-11-27,PS-0760,Pinnacle Solutions,South,Apparel,Safety Vest Hi-Vis,1,24.36,0.1,21.92,Dario Ferri
ORD-10113,2024-11-14,SV0090,Sunrise Ventures,East,Office Supplies,Label Maker,9,41.31,0.05,353.2,Elena Ruiz
ORD-10117,2024-11-27,hv-0605,Harborview Group,South,Furniture,Monitor Arm,9,91.13,0.05,779.16,Yuki Tanaka
ORD-10120,2024-11-14,VP-0105,Vantage Point Inc,East,Furniture,Filing Cabinet,2,173.71,0,347.42,Aisha Nkosi
ORD-10124,2024-11-20,BR-0229,Blue Ridge Consulting,West,Furniture,Bookshelf 5-Tier,7,126.18,0,883.26,Priya Sharma
ORD-10128,2024-11-13,RL-0031,Riverview Logistics,South,Furniture,Ergonomic Chair,6,358.86,0,2153.16,Jordan Lee
ORD-10132,2024-11-18,TA-0033,Thornhill Associates,East,Furniture,Bookshelf 5-Tier,1,127.86,0.05,121.47,Aisha Nkosi
ORD-10136,2024-11-21,SV-0090,Sunrise Ventures,South,Electronics,Bluetooth Speaker,10,60.97,0.1,548.73,Marcus Webb
